address,price,bedrooms,bath,lot_size,property_age,gross_tax_for_2020,area,Sub-Area/Community,Property_Type,title,style,heating_type,Depth,frontage
6255 Doman Street,128000,4.0,2.0,2153,47,4097,Vancouver East,Killarney,House,Freehold NonStrata,2 Storey,102.5,21.00 feet,R2502478
2833 E 49th Avenue,250000,3.0,1.0,8171,60,5990,Vancouver East,Killarney,House,Freehold NonStrata,Rancher/Bungalow w/Bsmt.,181.57,45.00 feet,R2499557
2478 E 48th Avenue,178000,4.0,2.0,5633,57,5842,Vancouver East,Killarney,House,Freehold NonStrata,2 Storey,119.85,47.00 feet,R2498731
1715 E 47th Avenue,158000,6.0,2.0,3960,60,4923,Vancouver East,Killarney,House,Freehold NonStrata,2 Storey,120,33.00 feet,R2446314
3169 E 45th Avenue,168800,5.0,4.0,3600,18,5178,Vancouver East,Killarney,House,Freehold NonStrata,2 Storey,120,30.00 feet,R2524883
6841 Tyne Street,149900,5.0,2.0,3729,63,4807,Vancouver East,Killarney,House,Freehold NonStrata,2 Storey,113,33.00 feet,R2524274
5710 Berkeley Street,174580,5.0,3.0,4329,41,5090,Vancouver East,Killarney,House,Freehold NonStrata,"2 Storey,Basement Entry",117,37.00 feet,R2522720
1960 E 52nd Avenue,144800,5.0,2.0,3385,65,5064,Vancouver East,Killarney,House,Freehold NonStrata,2 Storey,105.8,32.00 feet,R2523107
3188 E 43rd Avenue,239900,6.0,6.0,6072,0,5932,Vancouver East,Killarney,House,Freehold NonStrata,2 Storey w/Bsmt.,Heat Recovery Ventilator,132,46.00 feet
5816 Beatrice Street,133800,5.0,2.0,3874,69,4895,Vancouver East,Killarney,House,Freehold NonStrata,1 1/2 Storey,117.41,33.00 feet,R2523054
6696 Nanaimo Street,170000,5.0,2.0,5523,64,5676,Vancouver East,Killarney,House,Freehold NonStrata,2 Storey,115.07,48.00 feet,R2520247
6936 Balmoral Street,209900,6.0,5.0,3456,8,6937,Vancouver East,Killarney,House,Freehold NonStrata,2 Storey w/Bsmt.,108,32.00 feet,R2518867
2822 E 43rd Avenue,210000,5.0,4.0,5051,32,6108,Vancouver East,Killarney,House,Freehold NonStrata,2 Storey,126.26,40.00 feet,R2518762
6930 Rupert Street,279800,7.0,7.0,4724,0,6427,Vancouver East,Killarney,House,Freehold NonStrata,"2 Storey w/Bsmt.,Corner Unit",143,33.00 feet,R2514503
2060 E 51st Avenue Avenue,172000,4.0,4.0,4026,30,5723,Vancouver East,Killarney,House,Freehold NonStrata,2 Storey w/Bsmt.,122,33.00 feet,R2425406
2211 E 43rd Avenue,179000,6.0,4.0,3703,10,5957,Vancouver East,Killarney,House,Freehold NonStrata,2 Storey,112.2,33.00 feet,R2509860
2155 E 51st Avenue,218000,6.0,6.0,4026,7,5714,Vancouver East,Killarney,House,Freehold NonStrata,3 Storey,Heat Recovery Ventilator,122,33.00 feet
3143 E 46th Avenue,172000,4.0,4.0,3597,28,5646,Vancouver East,Killarney,House,Freehold NonStrata,2 Storey w/Bsmt.,109,33.00 feet,R2503277
5756 St. Margarets Street,188000,6.0,3.0,4838,40,5795,Vancouver East,Killarney,House,Freehold NonStrata,2 Storey,117,41.35 feet,R2501087
6281 Knight Street,245000,5.0,4.0,4945,56,5433,Vancouver East,Knight,House,Freehold NonStrata,2 Storey,115,43.00 feet,R2524247
6295 Knight Street,245000,5.0,4.0,4945,56,5000,Vancouver East,Knight,House,Freehold NonStrata,2 Storey,115,43.00 feet,R2522316
4480 Knight Street,239800,5.0,2.0,5426,72,5060,Vancouver East,Knight,House,Freehold NonStrata,2 Storey w/Bsmt.,113,48.01 feet,R2521944
1375 E 18th Avenue,134900,5.0,3.0,3598,28,6360,Vancouver East,Knight,House,Freehold NonStrata,2 Storey w/Bsmt.,121.93,29.51 feet,R2516859
1389 E 18th Avenue,134900,5.0,3.0,3598,28,5453,Vancouver East,Knight,House,Freehold NonStrata,2 Storey w/Bsmt.,121.93,29.51 feet,R2516865
1326 E 36th Avenue,239800,7.0,6.0,3642,2,5057,Vancouver East,Knight,House,Freehold NonStrata,"Basement Entry,Laneway House",110.05,33.00 feet,R2485156
6130 Fleming Street,185000,7.0,4.0,4039,50,5291,Vancouver East,Knight,House,Freehold NonStrata,2 Storey,122.37,33.00 feet,R2504563
3532 Knight Street,135000,4.0,2.0,3468,72,4692,Vancouver East,Knight,House,Freehold NonStrata,2 Storey,105.1,33.00 feet,R2502073
4040 Inverness Street,179800,5.0,3.0,3497,92,6222,Vancouver East,Knight,House,Freehold NonStrata,"1 1/2 Storey,Basement Entry",106.6,32.80 feet,R2496653
3708 Dumfries Street,159900,8.0,4.0,4026,90,5538,Vancouver East,Knight,House,Freehold NonStrata,2 Storey,122,33.00 feet,R2495600
5254 Sherbrooke Street,177500,4.0,4.0,3234,18,5292,Vancouver East,Knight,House,Freehold NonStrata,3 Storey,98,33.00 feet,R2503284
3458 Knight Street,180000,5.0,2.0,3469,68,4774,Vancouver East,Knight,House,Freehold NonStrata,"2 Storey,Split Entry",105.1,33.00 feet,R2429964
3470 Knight Street,180000,5.0,2.0,3469,73,4614,Vancouver East,Knight,House,Freehold NonStrata,Rancher/Bungalow w/Bsmt.,105.1,30.00 feet,R2429505
1333 E 41st Avenue,238880,7.0,2.0,3201,66,4310,Vancouver East,Knight,House,Freehold NonStrata,2 Storey,97,33.00 feet,R2389227
4717 Lanark Street,119988,6.0,6.0,3267,1,5942,Vancouver East,Knight,House,Freehold NonStrata,2 Storey,132,24.37 feet,R2524828
4363 Dumfries Street,178800,7.0,4.0,4640,55,5851,Vancouver East,Knight,House,Freehold NonStrata,2 Storey w/Bsmt.,118.13,39.63 feet,R2523270
1419 E 27th Avenue,219900,2.0,0.0,5515,75,5777,Vancouver East,Knight,House,Freehold NonStrata,Rancher/Bungalow w/Bsmt.,110,50.00 feet,R2523100
1427 E 27th Avenue,219900,2.0,0.0,5515,75,5873,Vancouver East,Knight,House,Freehold NonStrata,Rancher/Bungalow w/Bsmt.,110,50.00 feet,R2523055
5635 Lanark Street,169900,6.0,4.0,4104,33,5737,Vancouver East,Knight,House,Freehold NonStrata,2 Storey,124.34,33.00 feet,R2522730
5330 Knight Street,135000,2.0,2.0,3784,79,4447,Vancouver East,Knight,House,Freehold NonStrata,2 Storey w/Bsmt.,114.65,33.00 feet,R2522120
5330 Knight Street,135000,2.0,2.0,3784,79,4447,Vancouver East,Knight,House,Freehold NonStrata,2 Storey w/Bsmt.,114.65,33.00 feet,R2522120
5877 Dumfries Street,159800,5.0,4.0,4068,54,4337,Vancouver East,Knight,House,Freehold NonStrata,2 Storey,123.25,33.00 feet,R2504334
3260 Quebec Street,229800,4.0,4.0,5808,115,8628,Vancouver East,Main,House,Freehold NonStrata,"2 Storey,Carriage/Coach House",132,44.00 feet,R2522891
266 E 21st Avenue,229800,5.0,3.0,4036,108,8397,Vancouver East,Main,House,Freehold NonStrata,2 Storey w/Bsmt.,122.29,33.00 feet,R2521413
169 E 22 Avenue,269990,6.0,4.0,3904,13,7893,Vancouver East,Main,House,Freehold NonStrata,2 Storey w/Bsmt.,122,32.00 feet,R2513814
230 E 17th Avenue,259800,5.0,3.0,4027,112,6719,Vancouver East,Main,House,Freehold NonStrata,2 Storey w/Bsmt.,122.03,33.00 feet,R2504572
240 E 17th Avenue,239800,5.0,4.0,4027,110,6648,Vancouver East,Main,House,Freehold NonStrata,2 Storey w/Bsmt.,122.03,33.00 feet,R2504570
87 E 46th Avenue,169900,8.0,5.0,4032,32,7040,Vancouver East,Main,House,Freehold NonStrata,2 Storey,126,32.00 feet,R2524377
150 E 46th Avenue,236800,6.0,4.0,4032,11,7735,Vancouver East,Main,House,Freehold NonStrata,2 Storey,Heat Recovery Ventilator,126,32.00 feet
150 E 46th Avenue,236800,6.0,4.0,4032,11,7735,Vancouver East,Main,House,Freehold NonStrata,2 Storey,Heat Recovery Ventilator,126,32.00 feet
4980 Walden Street,328000,4.0,5.0,4026,0,5001,Vancouver East,Main,House,Freehold NonStrata,2 Storey w/Bsmt.,Heat Recovery Ventilator,122,33.00 feet
4994 Main Street,235000,4.0,2.0,3696,50,5597,Vancouver East,Main,House,Freehold NonStrata,2 Storey,112,33.00 feet,R2518692
381 E 34th Avenue,159900,4.0,3.0,3494,75,5354,Vancouver East,Main,House,Freehold NonStrata,2 Storey w/Bsmt.,105.9,33.00 feet,R2517742
5670 Sophia Street,290000,6.0,4.0,4125,32,6819,Vancouver East,Main,House,Freehold NonStrata,2 Storey,125,33.00 feet,R2514843
11 E King Edward Avenue,164900,4.0,3.0,3300,44,5188,Vancouver East,Main,House,Freehold NonStrata,2 Storey,100,33 feet,R2512977
368 E 33rd Avenue,386000,6.0,7.0,3325,8,7033,Vancouver East,Main,House,Freehold NonStrata,3 Storey,98.5,33.75 feet,R2512169
4891 Walden Street,269900,5.0,6.0,4224,13,7001,Vancouver East,Main,House,Freehold NonStrata,2 Storey w/Bsmt.,132,32.00 feet,R2511189
55 E 49th Avenue,250000,7.0,3.0,4686,49,6039,Vancouver East,Main,House,Freehold NonStrata,2 Storey,142,33.00 feet,R2493305
1206 E 11th Avenue,189800,5.0,3.0,4125,34,0,Vancouver East,Mount Pleasant East,House,Freehold NonStrata,2 Storey,125,33.00 feet,R2515162
850 E 12th Avenue,149900,6.0,4.0,4026,108,4298,Vancouver East,Mount Pleasant East,House,Freehold NonStrata,2 Storey w/Bsmt.,122,33.00 feet,R2506355
2180 Rupert Street,149980,5.0,2.0,4026,66,4961,Vancouver East,Renfrew,House,Freehold NonStrata,Rancher/Bungalow w/Bsmt.,122,33.00 feet,R2520104
531 Rupert Street,144900,6.0,3.0,3960,53,5416,Vancouver East,Renfrew,House,Freehold NonStrata,2 Storey,120,33.00 feet,R2516949
2531 E 5th Avenue,139990,4.0,2.0,4026,56,5125,Vancouver East,Renfrew,House,Freehold NonStrata,Basement Entry,122,33.00 feet,R2516968
2646 E 4th Avenue,158000,3.0,2.0,4026,73,5086,Vancouver East,Renfrew,House,Freehold NonStrata,Rancher/Bungalow w/Bsmt.,122,33.00 feet,R2514658
3254 E 6th Avenue,243880,9.0,8.0,4026,1,6696,Vancouver East,Renfrew,House,Freehold NonStrata,2 Storey w/Bsmt.,122,33.00 feet,R2511708
2915 Parker Street,166800,3.0,2.0,4724,74,5248,Vancouver East,Renfrew,House,Freehold NonStrata,2 Storey,146.75/136,33.00 feet,R2507632
636 Cassiar Street,132500,3.0,2.0,4026,106,4743,Vancouver East,Renfrew,House,Freehold NonStrata,2 Storey w/Bsmt.,122,33.00 feet,R2506743
3466 E Pender Street,199800,0.0,0.0,7673,102,6498,Vancouver East,Renfrew,House,Freehold NonStrata,2 Storey w/Bsmt.,155,49.50 feet,R2502609
2438 Rupert Street,199999,4.0,2.0,4026,66,4945,Vancouver East,Renfrew,House,Freehold NonStrata,2 Storey,122,33.00 feet,R2493300
2416 Rupert Street,199999,7.0,5.0,4026,73,5295,Vancouver East,Renfrew,House,Freehold NonStrata,2 Storey,122,33.00 feet,R2493297
3306 E 8th Avenue,199999,5.0,3.0,4026,40,5166,Vancouver East,Renfrew,House,Freehold NonStrata,2 Storey,122,33.00 feet,R2493280
2428 Rupert Street,199999,5.0,2.0,4026,57,5010,Vancouver East,Renfrew,House,Freehold NonStrata,2 Storey,122,33.00 feet,R2493275
3428 E 4th Avenue,176800,6.0,4.0,4092,18,6083,Vancouver East,Renfrew,House,Freehold NonStrata,2 Storey w/Bsmt.,124,33.00 feet,R2487553
2110 Renfrew Street,134900,4.0,2.0,4026,79,4921,Vancouver East,Renfrew,House,Freehold NonStrata,"2 Storey,Rancher/Bungalow w/Bsmt.",122,33.00 feet,R2470763
3405 E Pender Street,198000,6.0,3.0,4026,27,5595,Vancouver East,Renfrew,House,Freehold NonStrata,2 Storey w/Bsmt.,122,33.00 feet,R2433939
574 Nanaimo Street,240000,4.0,3.0,4158,95,5078,Vancouver East,Renfrew,House,Freehold NonStrata,2 Storey w/Bsmt.,126,33.00 feet,R2394840
2954 Charles Street,159900,5.0,2.0,4255,53,5169,Vancouver East,Renfrew,House,Freehold NonStrata,2 Storey,127,33.50 feet,R2524733
3088 E 6th Avenue,189900,7.0,6.0,4026,30,4173,Vancouver East,Renfrew,House,Freehold NonStrata,2 Storey w/Bsmt.,122,33.00 feet,R2524284
3658 Turner Street,139900,5.0,2.0,3630,94,4768,Vancouver East,Renfrew,House,Freehold NonStrata,2 Storey,110,33.00 feet,R2524204
2948 E 3rd Avenue,155000,5.0,2.0,4092,79,5378,Vancouver East,Renfrew,House,Freehold NonStrata,2 Storey,124,33.00 feet,R2524163
3442 E 4th Avenue,269000,7.0,6.0,8271,36,8518,Vancouver East,Renfrew,House,Freehold NonStrata,"2 Storey,Ground Level Unit",124,66.70 feet,R2514864
3446 William Street,118000,5.0,2.0,3548,66,4545,Vancouver East,Renfrew,House,Freehold NonStrata,2 Storey,107.5,33.00 feet,R2512996
2939 Charles Street,156000,4.0,3.0,3488,31,5105,Vancouver East,Renfrew,House,Freehold NonStrata,2 Storey,110.8,31.48 feet,R2513321
3115 E Broadway Street,300000,6.0,4.0,4952,54,5722,Vancouver East,Renfrew,House,Freehold NonStrata,2 Storey,150.04,33.00 feet,R2511790
2579 E East Pender Street,140000,4.0,2.0,4026,58,4837,Vancouver East,Renfrew,House,Freehold NonStrata,"2 Storey,Basement Entry",122,33.00 feet,R2510216
3326 E 2nd Avenue,167900,6.0,3.0,4960,52,5523,Vancouver East,Renfrew,House,Freehold NonStrata,2 Storey,124.02,40.00 feet,R2509974
2942 Renfrew Street,157500,6.0,3.0,3850,51,4629,Vancouver East,Renfrew Heights,House,Freehold NonStrata,2 Storey,121.66,31.65 feet,R2514549
3168 Renfrew Street,270000,3.0,2.0,4016,72,4698,Vancouver East,Renfrew Heights,House,Freehold NonStrata,2 Storey,121.53,33.04 feet,R2449933
3138 Renfrew Street,260000,5.0,3.0,4015,46,4840,Vancouver East,Renfrew Heights,House,Freehold NonStrata,2 Storey,121.55,33.04 feet,R2437760
3196 Renfrew Street,260000,4.0,2.0,4015,76,5027,Vancouver East,Renfrew Heights,House,Freehold NonStrata,2 Storey,121.51,33.03 feet,R2437127
3156 Renfrew Street,259900,3.0,2.0,4015,60,4679,Vancouver East,Renfrew Heights,House,Freehold NonStrata,2 Storey,122.54,33.04 feet,R2437110
3182 Renfrew Street,260000,6.0,0.0,4015,61,4649,Vancouver East,Renfrew Heights,House,Freehold NonStrata,2 Storey,121.52,33.04 feet,R2437070
2875 E 10th Avenue,250000,5.0,3.0,4752,41,5302,Vancouver East,Renfrew Heights,House,Freehold NonStrata,2 Storey,144,33.00 feet,R2433215
2869 E 10th Avenue,250000,6.0,3.0,4752,41,5376,Vancouver East,Renfrew Heights,House,Freehold NonStrata,2 Storey,144,33.00 feet,R2433197
3192 E 14th Avenue,239900,7.0,7.0,3985,0,7019,Vancouver East,Renfrew Heights,House,Freehold NonStrata,"2 Storey w/Bsmt.,Laneway House",Heat Recovery Ventilator,104.86,38.00 feet
2883 Nanaimo Street,159900,5.0,4.0,3406,23,5222,Vancouver East,Renfrew Heights,House,Freehold NonStrata,2 Storey,119.5,28.50 feet,R2522408
3549 Anzio Drive,178888,4.0,4.0,4510,27,5845,Vancouver East,Renfrew Heights,House,Freehold NonStrata,2 Storey w/Bsmt.,110,41.00 feet,R2520965
2418 E 19th Avenue,174999,8.0,5.0,436,11,5763,Vancouver East,Renfrew Heights,House,Freehold NonStrata,2 Storey,110.03,33.00 feet,R2519976
3125 Nootka Street,188880,4.0,3.0,5257,54,5831,Vancouver East,Renfrew Heights,House,Freehold NonStrata,2 Storey,121.33,43.48 feet,R2518470
2816 E 16th Avenue,178880,4.0,3.0,4619,65,5836,Vancouver East,Renfrew Heights,House,Freehold NonStrata,2 Storey w/Bsmt.,139.91,33.01 feet,R2517886
2762 E 21st Avenue,166800,4.0,4.0,3625,26,5614,Vancouver East,Renfrew Heights,House,Freehold NonStrata,2 Storey w/Bsmt.,109.97,32.96 feet,R2513971
4465 Skeena Street,169800,4.0,4.0,3696,27,5611,Vancouver East,Renfrew Heights,House,Freehold NonStrata,"2 Storey w/Bsmt.,Split Entry",112,33.00 feet,R2513366
2605 Kamloops Street,189900,5.0,3.0,6400,52,5901,Vancouver East,Renfrew Heights,House,Freehold NonStrata,2 Storey,128,50.00 feet,R2510867
3230 Nanaimo Street,189900,10.0,5.0,6411,73,5819,Vancouver East,Renfrew Heights,House,Freehold NonStrata,2 Storey w/Bsmt.,129.5,49.50 feet,R2510876
3144 E 22nd Avenue,229800,9.0,7.0,3960,3,5558,Vancouver East,Renfrew Heights,House,Freehold NonStrata,"2 Storey w/Bsmt.,Laneway House",Heat Recovery Ventilator,120,33.00 feet
3862 Nanaimo Street,270000,7.0,4.0,3900,15,5781,Vancouver East,Renfrew Heights,House,Freehold NonStrata,2 Storey,120,32.50 feet,R2505281
2882 E Broadway,288800,4.0,1.0,4779,65,5180,Vancouver East,Renfrew Heights,House,Freehold NonStrata,2 Storey,144.8,33.00 feet,R2489126
4475 Skeena Street,228800,8.0,8.0,3696,0,5429,Vancouver East,Renfrew Heights,House,Freehold NonStrata,2 Storey w/Bsmt.,112,33.00 feet,R2486792
2938 E 25th Avenue,279800,10.0,10.0,0,12,0,Vancouver East,Renfrew Heights,House,Freehold NonStrata,"2 Storey w/Bsmt.,Laneway House",100,52.00 feet,R2472526
2843 E 20th Avenue,158900,8.0,3.0,3629,95,4671,Vancouver East,Renfrew Heights,House,Freehold NonStrata,3 Storey,109.94,33.00 feet,R2464634
2876 E Broadway,288800,4.0,2.0,4779,73,5699,Vancouver East,Renfrew Heights,House,Freehold NonStrata,1 Storey,144.8,33.00 feet,R2462225
2808 E Broadway,300000,6.0,4.0,4779,9,5872,Vancouver East,Renfrew Heights,House,Freehold NonStrata,2 Storey,144,33.00 feet,R2451790
2870 E Broadway,288800,4.0,2.0,4779,74,5550,Vancouver East,Renfrew Heights,House,Freehold NonStrata,Rancher/Bungalow w/Bsmt.,144,33.00 feet,R2451241
2838 E Broadway,288800,4.0,2.0,4778,57,5606,Vancouver East,Renfrew Heights,House,Freehold NonStrata,Rancher/Bungalow w/Bsmt.,144.8,33.00 feet,R2451177
7320 Inverness Street,138800,5.0,2.0,3831,68,4824,Vancouver East,South Vancouver,House,Freehold NonStrata,2 Storey w/Bsmt.,112,34.32 feet,R2523929
1267 E 53rd Avenue,248000,8.0,5.0,3696,3,5818,Vancouver East,South Vancouver,House,Freehold NonStrata,"2 Storey w/Bsmt.,Laneway House",112,33.00 feet,R2521803
7983 Prince Albert Street,214800,8.0,6.0,3998,3,5805,Vancouver East,South Vancouver,House,Freehold NonStrata,"2 Storey w/Bsmt.,Loft/Warehouse Conv.",Heat Recovery Ventilator,121.15,33.00 feet
420 E 56th Avenue,228800,7.0,7.0,3500,0,4522,Vancouver East,South Vancouver,House,Freehold NonStrata,"2 Storey w/Bsmt.,Laneway House",Heat Recovery Ventilator,114,30.70 feet
1148 E 60th Avenue,168388,6.0,4.0,3849,18,6193,Vancouver East,South Vancouver,House,Freehold NonStrata,2 Storey,116.64,33.00 feet,R2504932
883 E 63rd Avenue,158000,6.0,3.0,4263,43,5175,Vancouver East,South Vancouver,House,Freehold NonStrata,2 Storey,129.2,33.00 feet,R2504122
1228 E 61st Avenue,178800,6.0,5.0,3762,17,5480,Vancouver East,South Vancouver,House,Freehold NonStrata,2 Storey,114,33.00 feet,R2503590
20 E 60th Avenue,149900,4.0,2.0,3330,95,5340,Vancouver East,South Vancouver,House,Freehold NonStrata,Rancher/Bungalow w/Bsmt.,111,30.00 feet,R2503217
6805 Sherbrooke Street,164800,6.0,4.0,4020,58,5351,Vancouver East,South Vancouver,House,Freehold NonStrata,2 Storey,121.81,33.00 feet,R2466550
952 E 63rd Avenue,154999,6.0,3.0,4089,47,5431,Vancouver East,South Vancouver,House,Freehold NonStrata,"2 Storey,2 Storey w/Bsmt.",126.22,32.40 feet,R2523018
66 E 56th Avenue,238800,9.0,6.0,3640,3,6126,Vancouver East,South Vancouver,House,Freehold NonStrata,"2 Storey w/Bsmt.,Laneway House",110,33.00 feet,R2521947
301 E 61st Avenue,158888,5.0,5.0,3548,29,5254,Vancouver East,South Vancouver,House,Freehold NonStrata,2 Storey w/Bsmt.,108.5,32.70 feet,R2517553
442 E 56th Avenue,248800,7.0,8.0,3795,0,4934,Vancouver East,South Vancouver,House,Freehold NonStrata,2 Storey w/Bsmt.,115,33.00 feet,R2516183
112 E 62nd Avenue,239800,6.0,6.0,3809,5,5972,Vancouver East,South Vancouver,House,Freehold NonStrata,"2 Storey w/Bsmt.,Basement Entry",Heat Recovery Ventilator,115.45,33.00 feet
1348 E 61st Avenue,169800,5.0,4.0,3795,23,5964,Vancouver East,South Vancouver,House,Freehold NonStrata,2 Storey,115,33.00 feet,R2512922
1032 E 61st Avenue,159888,4.0,5.0,4026,47,6103,Vancouver East,South Vancouver,House,Freehold NonStrata,2 Storey,122,33.00 feet,R2510043
6653 Main Street,290000,2.0,4.0,3850,61,9285,Vancouver East,South Vancouver,House,Freehold NonStrata,2 Storey,110,35.00 feet,R2508595
6879 Fraser Street,220000,5.0,1.0,3729,73,4803,Vancouver East,South Vancouver,House,Freehold NonStrata,Rancher/Bungalow w/Bsmt.,113,33.00 feet,R2497251
6891 Fraser Street,220000,4.0,2.0,3729,74,4867,Vancouver East,South Vancouver,House,Freehold NonStrata,Rancher/Bungalow w/Bsmt.,113,33.00 feet,R2497253
6867 Fraser Street,220000,5.0,1.0,3729,73,4803,Vancouver East,South Vancouver,House,Freehold NonStrata,"2 Storey,Rancher/Bungalow",113,33.00 feet,R2497252
135 E 62nd Avenue,184990,6.0,4.0,3056,13,5839,Vancouver East,South Vancouver,House,Freehold NonStrata,3 Storey,115.58,26.44 feet,R2495975
328 E 49th Avenue,179988,5.0,3.0,3936,38,5322,Vancouver East,South Vancouver,House,Freehold NonStrata,"2 Storey,Basement Entry",123,32.00 feet,R2493065
626 E 62nd Avenue,179800,6.0,4.0,4620,36,5997,Vancouver East,South Vancouver,House,Freehold NonStrata,2 Storey,132,35.00 feet,R2490831
585 E 52nd Avenue,320000,8.0,7.0,8852,31,8157,Vancouver East,South Vancouver,House,Freehold NonStrata,"2 Storey w/Bsmt.,Basement Entry",122,72.55 feet,R2486145
769 E 62nd Avenue,159800,6.0,3.0,4026,52,5111,Vancouver East,South Vancouver,House,Freehold NonStrata,2 Storey,122,33.00 feet,R2481361
7316 Culloden Street,144900,6.0,5.0,4347,67,5548,Vancouver East,South Vancouver,House,Freehold NonStrata,2 Storey,105,41.40 feet,R2461437
454 E 63rd Avenue,200000,7.0,4.0,6478,45,6373,Vancouver East,South Vancouver,House,Freehold NonStrata,2 Storey w/Bsmt.,145.38,44.56 feet,R2445681
350 E 61st Avenue,149888,4.0,4.0,3279,55,4497,Vancouver East,South Vancouver,House,Freehold NonStrata,2 Storey,99.35,33.00 feet,R2435290
2218 E 38th Avenue,178000,7.0,3.0,5640,108,6316,Vancouver East,Victoria East,House,Freehold NonStrata,3 Storey,141,40.00 feet,R2521158
4140 Gladstone Street,328800,10.0,7.0,6994,0,7243,Vancouver East,Victoria East,House,Freehold NonStrata,2 Storey w/Bsmt.,139.87,50.00 feet,R2520968
1896 E 40th Avenue,178000,6.0,6.0,4512,59,5553,Vancouver East,Victoria East,House,Freehold NonStrata,2 Storey,137,33.00 feet,R2517069
1635 E 21st Avenue,319980,4.0,3.0,6039,97,6431,Vancouver East,Victoria East,House,Freehold NonStrata,3 Storey,122,49.50 feet,R2513481
1885 E 35th Avenue,283800,10.0,8.0,4594,4,6125,Vancouver East,Victoria East,House,Freehold NonStrata,"2 Storey w/Bsmt.,Laneway House",127.61,36.00 feet,R2484823
4665 Baldwin Street,169800,5.0,2.0,4837,53,5105,Vancouver East,Victoria East,House,Freehold NonStrata,2 Storey,118,62.00 feet,R2440227
